IDENTIFICATION	HISTORIQUE	DOC
CASS0001	['Etalonnage/Verification : 04/19/2017 : R120-2590919041710727736-0768NC.pdf', 'Etalonnage/Verification : 04/19/2017 : 102727736-0768NC.pdf']	['R120-2590919041710727736-0768NC.pdf', '102727736-0768NC.pdf']
CASS0002	['Etalonnage/Verification : 09/22/2016 : R120-237482209161E16264_24PHZ.pdf', 'Etalonnage/Verification : 09/11/2018 : 221822000296C.pdf', 'Etalonnage/Verification : 08/21/2020 : cass0002 ts20200821002.pdf', 'Etalonnage/Verification : 07/07/2022 : cass0002 20252.pdf']	['R120-237482209161E16264_24PHZ.pdf', '221822000296C.pdf', 'cass0002 ts20200821002.pdf', 'cass0002 20252.pdf']
CASS0003	['Etalonnage/Verification : 09/22/2016 : R120-237482209161E16264_15PHZ.pdf', 'Etalonnage/Verification : 09/11/2018 : 221822000297C.pdf', 'Etalonnage/Verification : 08/21/2020 : cass0003 ts20200821001.pdf', 'Etalonnage/Verification : 07/07/2022 : cass0003 20022.pdf']	['R120-237482209161E16264_15PHZ.pdf', '221822000297C.pdf', 'cass0003 ts20200821001.pdf', 'cass0003 20022.pdf']
CLAB0274	['Etalonnage/Verification : 09/30/2015 : FR154006489.pdf']	['FR154006489.pdf']
CLAB0276	['Etalonnage/Verification : 08/21/2015 : FR153409465.pdf', 'Etalonnage/Verification : 12/07/2018 : clab0276-12122018164421.pdf', 'Etalonnage/Verification : 11/19/2021 : FR005-RSY-CI-21617041.pdf']	['FR153409465.pdf', 'clab0276-12122018164421.pdf', 'FR005-RSY-CI-21617041.pdf']
CQUA0109	['Etalonnage/Verification : 07/19/2016 : cqua0109.pdf']	['cqua0109.pdf']
CSCR0370	['Etalonnage/Verification : 10/10/2016 : cscr0370.pdf']	['cscr0370.pdf']
CSCR0372	['Etalonnage/Verification : 06/21/2016 : cscr0372.pdf']	['cscr0372.pdf']
CSCR1061	['Etalonnage/Verification : 06/01/2022 : CSCR1061 2022.pdf']	['CSCR1061 2022.pdf']
CSCR1062	['Etalonnage/Verification : 09/01/2022 : CSCR1062 2022.pdf']	['CSCR1062 2022.pdf']
